id_cliente,total_comprado,nombre_completo,email,id_localidad
195,2935.3199999999997,Mark Lane,parrishjacqueline@example.com,4
162,2756.99,Dennis Wilson,megan77@example.net,5
197,2675.3,Sierra Bowman,masonpaul@example.net,2
30,2469.43,Sherry Morse,lmiddleton@example.org,4
41,1829.93,Alexandra Nguyen,lgeorge@example.net,4
178,1805.35,Ann Barber,hsharp@example.net,1
121,1749.81,Valerie Garza,lori02@example.net,3
89,1748.79,Diane Murphy,stephanie29@example.net,1
87,1690.47,Michael Perry,gregory19@example.net,1
66,1624.88,Megan Guzman,vknight@example.org,3
165,1617.77,Jason Patel,kristin55@example.org,4
27,1542.53,Marcus Wilson,millerluis@example.com,1
177,1527.42,Diana Wood,jamesharris@example.com,5
114,1520.21,Regina Mckinney,tatemaria@example.org,3
199,1408.34,Kara Taylor,clarkanthony@example.com,5
159,1391.54,Karen Wheeler,sjohnson@example.com,4
118,1356.29,Nancy Thomas,michael01@example.net,4
184,1341.9299999999998,Jonathan Sims,jandrews@example.org,1
24,1332.73,Alice Silva,adkinsrita@example.net,1
174,1257.34,Sandra Castro,morgankyle@example.com,4
56,1192.58,Jeffery Williams,cherylgomez@example.net,3
62,1188.91,Lisa Frazier,nashshawn@example.org,4
23,1178.29,Mark Roberts,maria66@example.org,4
3,1177.01,Angela Terry,jennifer39@example.org,5
144,1102.7,Sara Moreno,mccarthytracey@example.net,1
151,1101.5900000000001,Kaitlin Carlson,jennifermorrison@example.org,1
2,1095.45,Marcus Perkins,npeters@example.org,1
126,1095.13,Elizabeth Miller,oponce@example.com,4
128,1070.66,Paul Mack,williamdavis@example.org,3
145,1070.15,Mark Medina,carteralexandra@example.com,5
93,1035.3400000000001,Anna Blair,kimberlymorton@example.net,4
73,1034.95,Debra Anderson,vwright@example.org,2
171,1028.26,Ronald Cox,ljenkins@example.net,5
94,1028.17,Shane Bolton,hansencassandra@example.org,2
49,1026.52,John White,meyeralyssa@example.org,5
160,1009.55,Matthew Martinez,christina88@example.com,3
180,991.51,Patricia Hill,hayden56@example.org,4
82,988.74,Alexandra Sandoval,teresawebb@example.org,5
75,982.29,Misty Thomas,sarahlittle@example.org,1
158,981.91,Brittany Cooke,msimmons@example.org,2
172,977.4300000000001,Jillian Williams,deborahcarroll@example.net,1
44,975.51,Patricia Manning,marcallen@example.org,3
196,972.98,Sarah Reid,sstrickland@example.com,3
18,970.42,Raymond Brown,wgreen@example.com,2
154,965.77,Tyler Arnold,stephanie15@example.org,1
50,953.45,Brian Shea,jeremiah77@example.net,1
10,952.0,Benjamin Bullock,kwilliams@example.org,3
4,950.86,William Taylor,perkinskimberly@example.org,3
8,946.27,Alyssa Campos,ayersdustin@example.org,5
85,941.5,Christopher Mahoney,petersonanthony@example.org,5
141,939.15,Mary Ellis,evanscott@example.org,4
32,894.83,Michael Gonzalez,dgreer@example.net,4
110,878.94,Christopher Hudson,esalazar@example.org,2
59,873.81,Brandon Heath,gregg62@example.org,1
181,862.23,Richard Berry,omartinez@example.com,1
